id,ra,dec
0000000,    14.978012,    40.741117
0000001,    13.992947,    41.438314
0000002,    14.525700,    40.779695
0000003,    14.434699,    42.221074
0000004,    13.549073,    41.499415
0000005,    14.996044,    40.736473
0000006,    13.776455,    41.206009
0000007,    14.242304,    41.278649
0000008,    15.040968,    41.338080
0000009,    13.962327,    42.148984
0000010,    13.903936,    41.009729
0000011,    14.572866,    41.835164
0000012,    14.295670,    42.010595
0000013,    14.196746,    42.091824
0000014,    13.748425,    41.396278
0000015,    13.755910,    41.430641
0000016,    13.427482,    41.383951
0000017,    13.574645,    41.673916
0000018,    13.340818,    41.117911
0000019,    13.637042,    41.096878
0000020,    14.811706,    40.980370
0000021,    13.717193,    41.595129
0000022,    14.495866,    40.640130
0000023,    14.115715,    42.160925
0000024,    14.894936,    41.536578
0000025,    13.988244,    41.576174
0000026,    14.596546,    41.659307
0000027,    13.970434,    41.441268
0000028,    13.487927,    41.388462
0000029,    14.066241,    40.594629
0000030,    13.902443,    40.734094
0000031,    13.957010,    42.033063
0000032,    13.699337,    41.411330
0000033,    14.069821,    40.859410
0000034,    13.940362,    40.366466
0000035,    14.119346,    41.169933
0000036,    13.839096,    41.398748
0000037,    13.960553,    40.785518
0000038,    14.086022,    40.374652
0000039,    13.669328,    41.793293
0000040,    14.931432,    41.394123
0000041,    13.904035,    40.783044
0000042,    14.694141,    40.842136
0000043,    14.276127,    40.280407
0000044,    14.336886,    40.476204
0000045,    13.945101,    41.637860
0000046,    15.152849,    41.473883
0000047,    13.826065,    41.678708
0000048,    13.391308,    40.894206
0000049,    13.753396,    41.679653
0000050,    14.688091,    40.916548
0000051,    14.662726,    41.959199
0000052,    14.787934,    40.552624
0000053,    14.299163,    41.223078
0000054,    13.541773,    41.294728
0000055,    13.743915,    41.313004
0000056,    14.500840,    42.069325
0000057,    14.464719,    41.734716
0000058,    13.623803,    41.899242
0000059,    13.366185,    41.754669
0000060,    13.724109,    40.537137
0000061,    14.258899,    40.984691
0000062,    14.803359,    40.592133
0000063,    14.343301,    42.070553
0000064,    14.647318,    41.068819
0000065,    14.572409,    41.894466
0000066,    13.968387,    40.506911
0000067,    13.683639,    41.183148
0000068,    13.805565,    41.095041
0000069,    14.560429,    40.369708
0000070,    14.746876,    40.424750
0000071,    13.808009,    41.457035
0000072,    13.945617,    40.737498
0000073,    14.246061,    42.044587
0000074,    13.236920,    41.347065
0000075,    14.682960,    41.856105
0000076,    14.159057,    42.267003
0000077,    13.448853,    41.153707
0000078,    15.090459,    41.242970
0000079,    14.308668,    41.506786
0000080,    14.522025,    42.051265
0000081,    13.284294,    41.380688
0000082,    14.312317,    41.546946
0000083,    13.649374,    41.893156
0000084,    14.832686,    42.005697
0000085,    14.004722,    41.806739
0000086,    14.636359,    40.964475
0000087,    14.277679,    41.577035
0000088,    13.330505,    41.216872
0000089,    13.346132,    41.434770
0000090,    14.281918,    40.458947
0000091,    13.280540,    41.013044
0000092,    14.755902,    40.571112
0000093,    14.683923,    40.433681
0000094,    14.513289,    40.734458
0000095,    14.409262,    40.454623
0000096,    14.192444,    41.430669
0000097,    14.361402,    42.172508
0000098,    14.655060,    41.821164
0000099,    13.438883,    41.469108
0000100,    14.154540,    42.098963
0000101,    13.895246,    40.818452
0000102,    14.445757,    41.757320
0000103,    14.249997,    41.912813
0000104,    13.614681,    41.792338
0000105,    13.752971,    40.684226
0000106,    14.573320,    41.402589
0000107,    13.564534,    41.947825
0000108,    13.499765,    41.950181
0000109,    14.210672,    41.599933
0000110,    13.660237,    41.161753
0000111,    13.464678,    41.222919
